id,desc,source,lat,lon,type_cd,n_samples,n_tds,n_cond,n_ion_samples,n_iso_samples,tds_min,tds_max,tds_mean,date_oldest,date_newest
5401202,O. W. Parker,TWDB,30.98,-101.93,GW,1,1,1,1,0,874.0,874.0,874.0,1962-12-06,1962-12-06
5401203,O. W. Parker,TWDB,30.97,-101.93,GW,1,1,1,1,0,3325.0,3325.0,3325.0,1962-12-06,1962-12-06
5401204,O. W. Parker,TWDB,30.96,-101.95,GW,1,1,1,1,0,8147.0,8147.0,8147.0,1962-12-06,1962-12-06
5401206,O. W. Parker,TWDB,30.96,-101.92,GW,1,1,1,1,0,4441.0,4441.0,4441.0,1962-12-06,1962-12-06
5401207,O. W. Parker,TWDB,30.97,-101.92,GW,1,1,1,1,0,3580.0,3580.0,3580.0,1962-12-06,1962-12-06
4525614,Bob Meek,TWDB,31.57,-102.91,GW,1,1,1,1,0,478.0,478.0,478.0,1972-05-16,1972-05-16
5401303,Tony Allen,TWDB,30.99,-101.9,GW,4,2,3,2,0,1152.0,1171.0,1161.5,1995-09-26,2004-10-14
5401601,O. W. Parker,TWDB,30.95,-101.91,GW,1,1,1,1,0,984.0,984.0,984.0,1962-12-06,1962-12-06
5401604,O. W. Parker,TWDB,30.94,-101.89,GW,1,1,1,1,0,2332.0,2332.0,2332.0,1962-12-06,1962-12-06
5401605,O. W. Parker,TWDB,30.94,-101.87,GW,1,1,1,1,0,521.0,521.0,521.0,1962-12-06,1962-12-06
4525615,Immanuel Baptist Church,TWDB,31.57,-102.91,GW,1,1,1,1,0,1039.0,1039.0,1039.0,1972-05-16,1972-05-16
5401901,R. L. Thompson,TWDB,30.9,-101.87,GW,1,1,1,1,0,2106.0,2106.0,2106.0,1962-12-10,1962-12-10
5401902,Clayton Smith,TWDB,30.88,-101.88,GW,1,1,1,1,0,588.0,588.0,588.0,1962-12-10,1962-12-10
5402101,Wayne Harris,TWDB,30.97,-101.83,GW,1,1,1,1,0,392.0,392.0,392.0,1962-11-28,1962-11-28
5402103,O. W. Parker,TWDB,30.99,-101.85,GW,1,1,1,1,0,370.0,370.0,370.0,1962-12-06,1962-12-06
5402201,Wayne Harris,TWDB,30.99,-101.79,GW,1,1,1,1,0,342.0,342.0,342.0,1962-11-28,1962-11-28
5402401,G. L. Thompson,TWDB,30.92,-101.86,GW,1,1,1,1,0,742.0,742.0,742.0,1962-12-11,1962-12-11
5402501,Leasell Harris,TWDB,30.94,-101.79,GW,1,1,1,1,0,327.0,327.0,327.0,1962-11-28,1962-11-28
4525616,Elton L. North,TWDB,31.57,-102.91,GW,1,1,1,1,0,766.0,766.0,766.0,1972-05-16,1972-05-16
5402502,J. M. Shannon Estate,TWDB,30.91,-101.79,GW,2,2,2,2,0,305.0,332.0,318.5,1962-12-04,1993-05-19
5402503,G. L. Thompson,TWDB,30.93,-101.82,GW,1,1,1,1,0,331.0,331.0,331.0,1962-12-10,1962-12-10
5402504,G. L. Thompson,TWDB,30.92,-101.81,GW,1,1,1,1,0,326.0,326.0,326.0,1962-12-10,1962-12-10
5402601,J. M. Shannon Estate,TWDB,30.93,-101.76,GW,1,1,1,1,0,372.0,372.0,372.0,1962-12-04,1962-12-04
5402701,G. L. Thompson,TWDB,30.88,-101.86,GW,1,1,1,1,0,367.0,367.0,367.0,1962-12-11,1962-12-11
5402702,G. L. Thompson,TWDB,30.89,-101.83,GW,1,1,1,1,0,328.0,328.0,328.0,1962-12-11,1962-12-11
5402704,Clayton Smith,TWDB,30.88,-101.83,GW,1,1,1,1,0,385.0,385.0,385.0,1962-12-10,1962-12-10
5402705,Dan Riggs,TWDB,30.91,-101.83,GW,2,2,2,2,0,379.0,405.0,392.0,1962-12-10,1998-09-17
4525617,C.W. Prough,TWDB,31.57,-102.91,GW,1,1,1,1,0,1114.0,1114.0,1114.0,1972-05-16,1972-05-16
5402706,Pecos County,TWDB,30.9,-101.87,GW,1,1,1,1,0,1416.0,1416.0,1416.0,1963-06-07,1963-06-07
5402707,Pecos County,TWDB,30.89,-101.87,GW,1,1,1,1,0,866.0,866.0,866.0,1963-06-07,1963-06-07
5402708,Pecos County,TWDB,30.89,-101.86,GW,1,1,1,1,0,380.0,380.0,380.0,1963-06-07,1963-06-07
5402801,J. M. Shannon Estate,TWDB,30.9,-101.79,GW,3,3,3,3,0,280.0,320.0,304.0,1962-12-04,1979-06-21
5402903,J. M. Shannon Estate,TWDB,30.89,-101.78,GW,1,1,1,1,0,328.0,328.0,328.0,1962-12-04,1962-12-04
5403201,Ted Harris,TWDB,30.99,-101.7,GW,1,1,1,1,0,546.0,546.0,546.0,1962-11-28,1962-11-28
5403202,Ted Harris,TWDB,30.98,-101.67,GW,1,1,1,1,0,785.0,785.0,785.0,1962-11-28,1962-11-28
4525618,J.F. Brown,TWDB,31.57,-102.91,GW,1,1,1,1,0,1359.0,1359.0,1359.0,1972-05-16,1972-05-16
5403203,J. M. Sannon estate,TWDB,30.96,-101.7,GW,1,1,1,1,0,790.0,790.0,790.0,1962-12-05,1962-12-05
5403204,J. M. Shannon Estate,TWDB,30.97,-101.7,GW,1,1,1,1,0,393.0,393.0,393.0,1962-12-05,1962-12-05
5403205,J. M. Shannon Estate,TWDB,30.97,-101.68,GW,1,1,1,1,0,985.0,985.0,985.0,1962-12-05,1962-12-05
